prop_id,Win,Bet,Prop_OU,abs_resid
Luka Doncic_Total Points and Rebounds_2021-03-15,0,0.01,Total Points and Rebounds_Over,1.7000000000000028
Maxi Kleber_Total Points and Rebounds_2021-03-15,0,0.02,Total Points and Rebounds_Over,0.7199999999999989
Nicolas Batum_Total Points and Rebounds_2021-03-15,1,0.01,Total Points and Rebounds_Over,0.5399999999999991
Luka Doncic_Total Rebounds and Assists_2021-03-15,1,0.01,Total Rebounds and Assists_Over,0.45000000000000284
Maxi Kleber_Total Rebounds and Assists_2021-03-15,0,0.06,Total Rebounds and Assists_Over,0.7400000000000002
Nicolas Batum_Total Rebounds and Assists_2021-03-15,1,0.03,Total Rebounds and Assists_Over,0.4400000000000004
Paul George_Total Rebounds and Assists_2021-03-15,1,0.07,Total Rebounds and Assists_Over,1.3599999999999994
"Luka Doncic_Total Points, Rebounds and Assists_2021-03-15",1,0.02,"Total Points, Rebounds and Assists_Over",2.3500000000000014
"Maxi Kleber_Total Points, Rebounds and Assists_2021-03-15",0,0.06,"Total Points, Rebounds and Assists_Over",1.3399999999999999
"Nicolas Batum_Total Points, Rebounds and Assists_2021-03-15",1,0.01,"Total Points, Rebounds and Assists_Over",0.7399999999999984
Delon Wright_Total Points_2021-03-15,1,0.03,Total Points_Under,1
Derrick White_Total Points_2021-03-15,0,0.05,Total Points_Over,1.4000000000000004
Keldon Johnson_Total Points_2021-03-15,0,0.09,Total Points_Over,1.0999999999999996
Jerami Grant_Total Rebounds_2021-03-15,1,0.01,Total Rebounds_Under,0.11000000000000032
Keldon Johnson_Total Rebounds_2021-03-15,0,0.07,Total Rebounds_Over,0.46999999999999975
Mason Plumlee_Total Rebounds_2021-03-15,0,0.03,Total Rebounds_Under,0.6899999999999995
Delon Wright_Total Points and Rebounds_2021-03-15,1,0.03,Total Points and Rebounds_Under,1.1099999999999994
Keldon Johnson_Total Points and Rebounds_2021-03-15,0,0.08,Total Points and Rebounds_Over,2.0700000000000003
Dejounte Murray_Total Rebounds and Assists_2021-03-15,1,0.02,Total Rebounds and Assists_Over,0.7400000000000002
Keldon Johnson_Total Rebounds and Assists_2021-03-15,0,0.16,Total Rebounds and Assists_Over,1.4799999999999995
Mason Plumlee_Total Rebounds and Assists_2021-03-15,1,0.03,Total Rebounds and Assists_Under,0.5299999999999994
"Dejounte Murray_Total Points, Rebounds and Assists_2021-03-15",1,0.01,"Total Points, Rebounds and Assists_Over",1.2399999999999984
"Delon Wright_Total Points, Rebounds and Assists_2021-03-15",1,0.01,"Total Points, Rebounds and Assists_Under",0.9699999999999989
"Keldon Johnson_Total Points, Rebounds and Assists_2021-03-15",0,0.08,"Total Points, Rebounds and Assists_Over",2.0799999999999983
"Mason Plumlee_Total Points, Rebounds and Assists_2021-03-15",1,0.03,"Total Points, Rebounds and Assists_Under",0.9299999999999997
Buddy Hield_Total Points_2021-03-15,0,0.02,Total Points_Under,0.6000000000000014
Gordon Hayward_Total Points_2021-03-15,1,0.01,Total Points_Over,1.3999999999999986
Harrison Barnes_Total Points_2021-03-15,0,0.01,Total Points_Over,0.6999999999999993
Cody Zeller_Total Rebounds_2021-03-15,1,0.03,Total Rebounds_Over,0.33000000000000007
Gordon Hayward_Total Rebounds_2021-03-15,0,0.02,Total Rebounds_Under,0.3200000000000003
LaMelo Ball_Total Rebounds_2021-03-15,0,0.03,Total Rebounds_Over,0.040000000000000036
P.J. Washington_Total Rebounds_2021-03-15,1,0.02,Total Rebounds_Under,0.20000000000000018
Richaun Holmes_Total Rebounds_2021-03-15,0,0.02,Total Rebounds_Under,0.16999999999999993
Cody Zeller_Total Rebounds and Assists_2021-03-15,1,0.06,Total Rebounds and Assists_Over,0.6799999999999997
De'Aaron Fox_Total Rebounds and Assists_2021-03-15,1,0.06,Total Rebounds and Assists_Under,1.3099999999999987
"Cody Zeller_Total Points, Rebounds and Assists_2021-03-15",0,0.04,"Total Points, Rebounds and Assists_Over",1.5800000000000018
"De'Aaron Fox_Total Points, Rebounds and Assists_2021-03-15",0,0.02,"Total Points, Rebounds and Assists_Under",1.4099999999999966
Brook Lopez_Total Points_2021-03-15,0,0.01,Total Points_Under,0.9000000000000004
Donte DiVincenzo_Total Points_2021-03-15,1,0.02,Total Points_Over,0.5999999999999996
Giannis Antetokounmpo_Total Points_2021-03-15,1,0.03,Total Points_Under,2.8000000000000007
Rui Hachimura_Total Points_2021-03-15,0,0.1,Total Points_Under,1.4000000000000004
Russell Westbrook_Total Points_2021-03-15,1,0.04,Total Points_Under,1.1999999999999993
Giannis Antetokounmpo_Total Rebounds_2021-03-15,0,0.01,Total Rebounds_Under,0.14000000000000057
Jrue Holiday_Total Rebounds_2021-03-15,0,0.06,Total Rebounds_Under,0.23000000000000043
Russell Westbrook_Total Rebounds_2021-03-15,0,0.03,Total Rebounds_Over,0.6699999999999999
Brook Lopez_Total Points and Rebounds_2021-03-15,0,0.02,Total Points and Rebounds_Under,1.2600000000000016
Giannis Antetokounmpo_Total Points and Rebounds_2021-03-15,0,0.03,Total Points and Rebounds_Under,2.1599999999999966
Rui Hachimura_Total Points and Rebounds_2021-03-15,0,0.07,Total Points and Rebounds_Under,2.1799999999999997
Bradley Beal_Total Rebounds and Assists_2021-03-15,1,0.07,Total Rebounds and Assists_Over,0.8000000000000007
Giannis Antetokounmpo_Total Rebounds and Assists_2021-03-15,0,0.02,Total Rebounds and Assists_Under,0.9899999999999984
"Bradley Beal_Total Points, Rebounds and Assists_2021-03-15",1,0.01,"Total Points, Rebounds and Assists_Over",2.1000000000000014
"Giannis Antetokounmpo_Total Points, Rebounds and Assists_2021-03-15",0,0.03,"Total Points, Rebounds and Assists_Under",3.289999999999999
Bam Adebayo_Total Points_2021-03-16,1,0.01,Total Points_Under,0.8000000000000007
Isaac Okoro_Total Points_2021-03-16,1,0.03,Total Points_Over,0.5999999999999996
Jimmy Butler_Total Points_2021-03-16,0,0.03,Total Points_Under,1.3999999999999986
Kelly Olynyk_Total Points_2021-03-16,1,0.01,Total Points_Over,0.1999999999999993
Kendrick Nunn_Total Points_2021-03-16,0,0.03,Total Points_Over,0.5999999999999996
Larry Nance Jr._Total Points_2021-03-16,1,0.15,Total Points_Over,1.5
Jarrett Allen_Total Rebounds_2021-03-16,0,0.05,Total Rebounds_Over,0.6899999999999995
Bam Adebayo_Total Rebounds and Assists_2021-03-16,0,0.11,Total Rebounds and Assists_Under,2.41
Darius Garland_Total Rebounds and Assists_2021-03-16,1,0.02,Total Rebounds and Assists_Under,0.6200000000000001
Duncan Robinson_Total Rebounds and Assists_2021-03-16,1,0.09,Total Rebounds and Assists_Under,0.6000000000000005
Isaac Okoro_Total Rebounds and Assists_2021-03-16,1,0.01,Total Rebounds and Assists_Under,0.17999999999999972
Jimmy Butler_Total Rebounds and Assists_2021-03-16,0,0.1,Total Rebounds and Assists_Under,1.58
Kelly Olynyk_Total Rebounds and Assists_2021-03-16,1,0.01,Total Rebounds and Assists_Over,0.33000000000000007
Kendrick Nunn_Total Rebounds and Assists_2021-03-16,0,0.01,Total Rebounds and Assists_Under,0.29000000000000004
"Bam Adebayo_Total Points, Rebounds and Assists_2021-03-16",1,0.07,"Total Points, Rebounds and Assists_Under",3.710000000000001
"Jimmy Butler_Total Points, Rebounds and Assists_2021-03-16",0,0.01,"Total Points, Rebounds and Assists_Under",2.979999999999997
"Kelly Olynyk_Total Points, Rebounds and Assists_2021-03-16",1,0.01,"Total Points, Rebounds and Assists_Over",1.0299999999999976
"Larry Nance Jr._Total Points, Rebounds and Assists_2021-03-16",1,0.04,"Total Points, Rebounds and Assists_Over",1.2800000000000011
John Collins_Total Points_2021-03-16,0,0.03,Total Points_Under,1.6000000000000014
Kevin Porter Jr._Total Points_2021-03-16,1,0.04,Total Points_Over,1.1999999999999993
Tony Snell_Total Points_2021-03-16,1,0.02,Total Points_Over,0.40000000000000036
Trae Young_Total Points_2021-03-16,1,0.01,Total Points_Under,1.3000000000000007
John Collins_Total Rebounds and Assists_2021-03-16,0,0.1,Total Rebounds and Assists_Under,1.3900000000000006
Kevin Porter Jr._Total Rebounds and Assists_2021-03-16,1,0.01,Total Rebounds and Assists_Over,0.2599999999999998
Tony Snell_Total Rebounds and Assists_2021-03-16,0,0.05,Total Rebounds and Assists_Under,0.5899999999999999
"John Collins_Total Points, Rebounds and Assists_2021-03-16",0,0.08,"Total Points, Rebounds and Assists_Under",3.490000000000002
Jaylen Brown_Total Points_2021-03-16,1,0.03,Total Points_Over,1.8000000000000007
Kemba Walker_Total Points_2021-03-16,0,0.04,Total Points_Over,1.5
Royce O'Neale_Total Points_2021-03-16,0,0.08,Total Points_Over,0.9000000000000004
Rudy Gobert_Total Points_2021-03-16,1,0.01,Total Points_Over,0.6999999999999993
Royce O'Neale_Total Rebounds_2021-03-16,0,0.03,Total Rebounds_Over,0.3200000000000003
Royce O'Neale_Total Points and Rebounds_2021-03-16,0,0.03,Total Points and Rebounds_Over,1.2200000000000006
Jaylen Brown_Total Rebounds and Assists_2021-03-16,1,0.17,Total Rebounds and Assists_Over,1.7800000000000011
Jayson Tatum_Total Rebounds and Assists_2021-03-16,0,0.03,Total Rebounds and Assists_Over,0.4299999999999997
Kemba Walker_Total Rebounds and Assists_2021-03-16,0,0.1,Total Rebounds and Assists_Over,1.25
Mike Conley_Total Rebounds and Assists_2021-03-16,0,0.01,Total Rebounds and Assists_Over,0.41999999999999993
"Jaylen Brown_Total Points, Rebounds and Assists_2021-03-16",1,0.05,"Total Points, Rebounds and Assists_Over",3.0799999999999983
"Kemba Walker_Total Points, Rebounds and Assists_2021-03-16",0,0.05,"Total Points, Rebounds and Assists_Over",2.75
Bojan Bogdanovic_Total Made 3 Point Shots_2021-03-16,0,0.02,Total Made 3 Point Shots_Over,0.06000000000000005
Donovan Mitchell_Total Made 3 Point Shots_2021-03-16,1,0.2,Total Made 3 Point Shots_Over,0.79
Jaylen Brown_Total Made 3 Point Shots_2021-03-16,1,0.35,Total Made 3 Point Shots_Over,0.77
Jayson Tatum_Total Made 3 Point Shots_2021-03-16,1,0.04,Total Made 3 Point Shots_Over,0.040000000000000036
Mike Conley_Total Made 3 Point Shots_2021-03-16,0,0.05,Total Made 3 Point Shots_Under,0.2799999999999998
Royce O'Neale_Total Made 3 Point Shots_2021-03-16,1,0.03,Total Made 3 Point Shots_Over,0
Jaylen Brown_Total Blocks and Steals_2021-03-16,1,0.12,Total Blocks and Steals_Over,0.1399999999999999
Jayson Tatum_Total Blocks and Steals_2021-03-16,1,0.38,Total Blocks and Steals_Over,0.71
Rudy Gobert_Total Blocks and Steals_2021-03-16,0,0.02,Total Blocks and Steals_Under,0.5799999999999996
Anthony Edwards_Total Points_2021-03-16,0,0.02,Total Points_Under,0.8999999999999986
Dennis Schroder_Total Points_2021-03-16,0,0.07,Total Points_Over,1.6999999999999993
Markieff Morris_Total Points_2021-03-16,0,0.05,Total Points_Under,1.0999999999999996
Ricky Rubio_Total Points_2021-03-16,1,0.04,Total Points_Over,0.8000000000000007
Anthony Edwards_Total Rebounds and Assists_2021-03-16,0,0.15,Total Rebounds and Assists_Over,1.209999999999999
Ricky Rubio_Total Rebounds and Assists_2021-03-16,0,0.01,Total Rebounds and Assists_Under,0.40000000000000036
"Dennis Schroder_Total Points, Rebounds and Assists_2021-03-16",0,0.03,"Total Points, Rebounds and Assists_Over",2.1199999999999974
"LeBron James_Total Points, Rebounds and Assists_2021-03-16",0,0.01,"Total Points, Rebounds and Assists_Under",1.4499999999999957
"Markieff Morris_Total Points, Rebounds and Assists_2021-03-16",0,0.04,"Total Points, Rebounds and Assists_Under",1.2199999999999989
Patrick Williams_Total Points_2021-03-16,0,0.01,Total Points_Over,0.5999999999999996
Theo Maledon_Total Points_2021-03-16,0,0.15,Total Points_Over,1.8000000000000007
Thaddeus Young_Total Rebounds and Assists_2021-03-16,0,0.06,Total Rebounds and Assists_Under,0.5800000000000001
Theo Maledon_Total Rebounds and Assists_2021-03-16,1,0.03,Total Rebounds and Assists_Under,0.3000000000000007
Zach Lavine_Total Rebounds and Assists_2021-03-16,0,0.05,Total Rebounds and Assists_Over,0.6400000000000006
"Theo Maledon_Total Points, Rebounds and Assists_2021-03-16",0,0.02,"Total Points, Rebounds and Assists_Over",1
Ben Simmons_Total Points_2021-03-16,0,0.03,Total Points_Over,1.3999999999999986
Immanuel Quickley_Total Points_2021-03-16,0,0.04,Total Points_Over,1.6000000000000014
Reggie Bullock_Total Points_2021-03-16,1,0.04,Total Points_Over,0.8000000000000007
RJ Barrett_Total Points_2021-03-16,1,0.07,Total Points_Under,1.6000000000000014
Tobias Harris_Total Points_2021-03-16,1,0.07,Total Points_Over,2.1000000000000014
Nerlens Noel_Total Rebounds_2021-03-16,0,0.03,Total Rebounds_Under,0.4800000000000004
Ben Simmons_Total Rebounds and Assists_2021-03-16,1,0.08,Total Rebounds and Assists_Over,1.8699999999999974
Danny Green_Total Rebounds and Assists_2021-03-16,0,0.01,Total Rebounds and Assists_Over,0.1299999999999999
Immanuel Quickley_Total Rebounds and Assists_2021-03-16,0,0.05,Total Rebounds and Assists_Over,0.46999999999999975
Reggie Bullock_Total Rebounds and Assists_2021-03-16,1,0.15,Total Rebounds and Assists_Over,0.96
RJ Barrett_Total Rebounds and Assists_2021-03-16,1,0.07,Total Rebounds and Assists_Over,0.8300000000000001
Tobias Harris_Total Rebounds and Assists_2021-03-16,1,0.04,Total Rebounds and Assists_Under,0.5099999999999998
"Ben Simmons_Total Points, Rebounds and Assists_2021-03-16",1,0.04,"Total Points, Rebounds and Assists_Over",2.769999999999996
"Danny Green_Total Points, Rebounds and Assists_2021-03-16",1,0.01,"Total Points, Rebounds and Assists_Under",0.5299999999999994
"Immanuel Quickley_Total Points, Rebounds and Assists_2021-03-16",0,0.06,"Total Points, Rebounds and Assists_Over",2.5700000000000003
"Reggie Bullock_Total Points, Rebounds and Assists_2021-03-16",1,0.03,"Total Points, Rebounds and Assists_Over",1.2600000000000016
Cody Zeller_Total Points_2021-03-17,0,0.06,Total Points_Over,1
Gordon Hayward_Total Points_2021-03-17,0,0.06,Total Points_Over,1.6000000000000014
LaMelo Ball_Total Points_2021-03-17,1,0.04,Total Points_Under,1.3000000000000007
Michael Porter Jr._Total Points_2021-03-17,0,0.04,Total Points_Under,0.8999999999999986
P.J. Washington_Total Points_2021-03-17,0,0.05,Total Points_Over,0.9000000000000004
Terry Rozier_Total Points_2021-03-17,0,0.02,Total Points_Under,0.6000000000000014
Will Barton_Total Points_2021-03-17,1,0.16,Total Points_Over,2.6999999999999993
Michael Porter Jr._Total Points and Rebounds_2021-03-17,0,0.01,Total Points and Rebounds_Under,0.759999999999998
Cody Zeller_Total Rebounds and Assists_2021-03-17,0,0.01,Total Rebounds and Assists_Over,0.16999999999999993
LaMelo Ball_Total Rebounds and Assists_2021-03-17,1,0.07,Total Rebounds and Assists_Under,1.0700000000000003
Will Barton_Total Rebounds and Assists_2021-03-17,1,0.06,Total Rebounds and Assists_Over,0.8399999999999999
"Cody Zeller_Total Points, Rebounds and Assists_2021-03-17",0,0.06,"Total Points, Rebounds and Assists_Over",1.6700000000000017
"Gordon Hayward_Total Points, Rebounds and Assists_2021-03-17",0,0.03,"Total Points, Rebounds and Assists_Over",2.1300000000000026
"LaMelo Ball_Total Points, Rebounds and Assists_2021-03-17",1,0.04,"Total Points, Rebounds and Assists_Under",1.870000000000001
"P.J. Washington_Total Points, Rebounds and Assists_2021-03-17",0,0.01,"Total Points, Rebounds and Assists_Over",0.370000000000001
"Will Barton_Total Points, Rebounds and Assists_2021-03-17",1,0.11,"Total Points, Rebounds and Assists_Over",3.539999999999999
Desmond Bane_Total Points_2021-03-17,1,0.21,Total Points_Over,1.8000000000000007
Dillon Brooks_Total Points_2021-03-17,0,0.05,Total Points_Over,1.3000000000000007
Jonas Valanciunas_Total Points_2021-03-17,0,0.07,Total Points_Over,1.6999999999999993
Kyle Anderson_Total Points_2021-03-17,1,0.03,Total Points_Over,0.40000000000000036
Jonas Valanciunas_Total Points and Rebounds_2021-03-17,0,0.02,Total Points and Rebounds_Over,1.4499999999999993
Desmond Bane_Total Rebounds and Assists_2021-03-17,1,0.11,Total Rebounds and Assists_Over,0.5
Dillon Brooks_Total Rebounds and Assists_2021-03-17,0,0.14,Total Rebounds and Assists_Over,0.75
Kyle Anderson_Total Rebounds and Assists_2021-03-17,0,0.11,Total Rebounds and Assists_Over,1.1199999999999992
"Desmond Bane_Total Points, Rebounds and Assists_2021-03-17",1,0.12,"Total Points, Rebounds and Assists_Over",1.8000000000000007
"Dillon Brooks_Total Points, Rebounds and Assists_2021-03-17",0,0.07,"Total Points, Rebounds and Assists_Over",2.0500000000000007
"Kyle Anderson_Total Points, Rebounds and Assists_2021-03-17",1,0.06,"Total Points, Rebounds and Assists_Over",1.5199999999999996
Dejounte Murray_Total Points_2021-03-17,0,0.02,Total Points_Over,0.8999999999999986
Derrick White_Total Points_2021-03-17,1,0.07,Total Points_Over,1.4000000000000004
Jakob Poeltl_Total Points_2021-03-17,1,0.05,Total Points_Over,0.6999999999999993
Keldon Johnson_Total Points_2021-03-17,1,0.05,Total Points_Over,0.9000000000000004
Lonnie Walker IV_Total Points_2021-03-17,0,0.15,Total Points_Over,2.0999999999999996
Thaddeus Young_Total Points_2021-03-17,0,0.02,Total Points_Under,0.8000000000000007
Zach Lavine_Total Points_2021-03-17,0,0.06,Total Points_Under,2.8000000000000007
Dejounte Murray_Total Rebounds and Assists_2021-03-17,0,0.05,Total Rebounds and Assists_Over,1.379999999999999
Derrick White_Total Rebounds and Assists_2021-03-17,0,0.08,Total Rebounds and Assists_Under,0.9199999999999999
Jakob Poeltl_Total Rebounds and Assists_2021-03-17,1,0.06,Total Rebounds and Assists_Over,1.1000000000000014
Keldon Johnson_Total Rebounds and Assists_2021-03-17,0,0.15,Total Rebounds and Assists_Over,1.2800000000000011
Lauri Markkanen_Total Rebounds and Assists_2021-03-17,1,0.02,Total Rebounds and Assists_Over,0.16999999999999993
Lonnie Walker IV_Total Rebounds and Assists_2021-03-17,0,0.02,Total Rebounds and Assists_Over,0.3700000000000001
Thaddeus Young_Total Rebounds and Assists_2021-03-17,0,0.04,Total Rebounds and Assists_Under,0.8599999999999994
Zach Lavine_Total Rebounds and Assists_2021-03-17,1,0.01,Total Rebounds and Assists_Over,0.5500000000000007
"Dejounte Murray_Total Points, Rebounds and Assists_2021-03-17",0,0.02,"Total Points, Rebounds and Assists_Over",1.7800000000000011
"Jakob Poeltl_Total Points, Rebounds and Assists_2021-03-17",1,0.05,"Total Points, Rebounds and Assists_Over",1.8000000000000007
"Keldon Johnson_Total Points, Rebounds and Assists_2021-03-17",0,0.05,"Total Points, Rebounds and Assists_Over",1.6799999999999997
"Lonnie Walker IV_Total Points, Rebounds and Assists_2021-03-17",0,0.07,"Total Points, Rebounds and Assists_Over",1.9699999999999989
"Thaddeus Young_Total Points, Rebounds and Assists_2021-03-17",0,0.03,"Total Points, Rebounds and Assists_Under",1.1600000000000001
Andrew Wiggins_Total Points_2021-03-17,1,0.14,Total Points_Over,3.1000000000000014
Draymond Green_Total Points_2021-03-17,1,0.02,Total Points_Over,0.5999999999999996
Kelly Oubre Jr._Total Points_2021-03-17,1,0.13,Total Points_Over,2.8000000000000007
Stephen Curry_Total Points_2021-03-17,0,0.1,Total Points_Over,3.8999999999999986
Andrew Wiggins_Total Rebounds and Assists_2021-03-17,0,0.02,Total Rebounds and Assists_Over,0.33000000000000007
Kelly Oubre Jr._Total Rebounds and Assists_2021-03-17,0,0.03,Total Rebounds and Assists_Over,0.3099999999999996
Stephen Curry_Total Rebounds and Assists_2021-03-17,1,0.04,Total Rebounds and Assists_Over,1.0399999999999991
"Andrew Wiggins_Total Points, Rebounds and Assists_2021-03-17",0,0.09,"Total Points, Rebounds and Assists_Over",2.9300000000000033
"Kelly Oubre Jr._Total Points, Rebounds and Assists_2021-03-17",1,0.1,"Total Points, Rebounds and Assists_Over",3.6099999999999994
"Stephen Curry_Total Points, Rebounds and Assists_2021-03-17",0,0.06,"Total Points, Rebounds and Assists_Over",4.439999999999998
Daniel Theis_Total Points_2021-03-17,0,0.02,Total Points_Over,0.5999999999999996
Darius Garland_Total Points_2021-03-17,1,0.03,Total Points_Over,0.6000000000000014
Isaac Okoro_Total Points_2021-03-17,1,0.07,Total Points_Over,0.9000000000000004
Larry Nance Jr._Total Points_2021-03-17,1,0.09,Total Points_Over,1.1999999999999993
Marcus Smart_Total Points_2021-03-17,1,0.01,Total Points_Over,0.6999999999999993
Jarrett Allen_Total Rebounds_2021-03-17,0,0.09,Total Rebounds_Over,1.1099999999999994
Jarrett Allen_Total Points and Rebounds_2021-03-17,0,0.01,Total Points and Rebounds_Over,1.1099999999999994
Darius Garland_Total Rebounds and Assists_2021-03-17,1,0.05,Total Rebounds and Assists_Over,0.5
Jaylen Brown_Total Rebounds and Assists_2021-03-17,0,0.04,Total Rebounds and Assists_Over,0.75
Jayson Tatum_Total Rebounds and Assists_2021-03-17,0,0.03,Total Rebounds and Assists_Over,0.9499999999999993
"Darius Garland_Total Points, Rebounds and Assists_2021-03-17",1,0.03,"Total Points, Rebounds and Assists_Over",1.1000000000000014
"Isaac Okoro_Total Points, Rebounds and Assists_2021-03-17",1,0.02,"Total Points, Rebounds and Assists_Over",0.379999999999999
"Larry Nance Jr._Total Points, Rebounds and Assists_2021-03-17",1,0.01,"Total Points, Rebounds and Assists_Over",1.1499999999999986
Saddiq Bey_Total Points_2021-03-17,1,0.14,Total Points_Over,1.9000000000000004
Delon Wright_Total Rebounds and Assists_2021-03-17,1,0.01,Total Rebounds and Assists_Over,0.620000000000001
"Mason Plumlee_Total Points, Rebounds and Assists_2021-03-17",0,0.02,"Total Points, Rebounds and Assists_Under",1.2200000000000024
"Saddiq Bey_Total Points, Rebounds and Assists_2021-03-17",1,0.04,"Total Points, Rebounds and Assists_Over",1.5500000000000007
Buddy Hield_Total Points_2021-03-17,1,0.02,Total Points_Under,1.5
Richaun Holmes_Total Points_2021-03-17,1,0.03,Total Points_Over,1.1999999999999993
Rui Hachimura_Total Points_2021-03-17,0,0.04,Total Points_Under,1.3000000000000007
Bradley Beal_Total Rebounds and Assists_2021-03-17,1,0.02,Total Rebounds and Assists_Over,0.35999999999999943
Buddy Hield_Total Rebounds and Assists_2021-03-17,1,0.02,Total Rebounds and Assists_Under,0.6699999999999999
De'Aaron Fox_Total Rebounds and Assists_2021-03-17,1,0.04,Total Rebounds and Assists_Under,1.4400000000000013
"Buddy Hield_Total Points, Rebounds and Assists_2021-03-17",1,0.03,"Total Points, Rebounds and Assists_Under",1.6700000000000017
"Rui Hachimura_Total Points, Rebounds and Assists_2021-03-17",0,0.01,"Total Points, Rebounds and Assists_Under",0.4400000000000013
Caris LeVert_Total Points_2021-03-17,0,0.05,Total Points_Under,1.5
Domantas Sabonis_Total Points_2021-03-17,0,0.11,Total Points_Over,2.8999999999999986
James Harden_Total Points_2021-03-17,0,0.04,Total Points_Under,0.6999999999999993
Jeff Green_Total Points_2021-03-17,0,0.02,Total Points_Under,0.40000000000000036
Malcolm Brogdon_Total Points_2021-03-17,1,0.02,Total Points_Over,1.1999999999999993
Myles Turner_Total Points_2021-03-17,0,0.03,Total Points_Over,0.6999999999999993
DeAndre Jordan_Total Rebounds_2021-03-17,0,0.02,Total Rebounds_Over,0.7200000000000006
DeAndre Jordan_Total Points and Rebounds_2021-03-17,0,0.01,Total Points and Rebounds_Over,1.0200000000000031
Caris LeVert_Total Rebounds and Assists_2021-03-17,1,0.05,Total Rebounds and Assists_Under,0.9000000000000004
James Harden_Total Rebounds and Assists_2021-03-17,0,0.03,Total Rebounds and Assists_Under,1.8299999999999983
Justin Holiday_Total Rebounds and Assists_2021-03-17,0,0.1,Total Rebounds and Assists_Over,0.5800000000000001
Malcolm Brogdon_Total Rebounds and Assists_2021-03-17,0,0.06,Total Rebounds and Assists_Over,0.7699999999999996
"Caris LeVert_Total Points, Rebounds and Assists_2021-03-17",0,0.05,"Total Points, Rebounds and Assists_Under",1.8999999999999986
"James Harden_Total Points, Rebounds and Assists_2021-03-17",0,0.02,"Total Points, Rebounds and Assists_Under",3.030000000000001
"Jeff Green_Total Points, Rebounds and Assists_2021-03-17",0,0.01,"Total Points, Rebounds and Assists_Under",0.9200000000000017
"Justin Holiday_Total Points, Rebounds and Assists_2021-03-17",0,0.01,"Total Points, Rebounds and Assists_Over",0.8800000000000026
"Malcolm Brogdon_Total Points, Rebounds and Assists_2021-03-17",1,0.03,"Total Points, Rebounds and Assists_Over",1.9699999999999989
Ben Simmons_Total Points_2021-03-17,0,0.17,Total Points_Over,3.1000000000000014
Brook Lopez_Total Points_2021-03-17,0,0.05,Total Points_Under,1
Danny Green_Total Points_2021-03-17,0,0.04,Total Points_Under,0.5
Donte DiVincenzo_Total Points_2021-03-17,1,0.09,Total Points_Over,1.4000000000000004
Jrue Holiday_Total Points_2021-03-17,1,0.04,Total Points_Over,1.3000000000000007
Khris Middleton_Total Points_2021-03-17,0,0.03,Total Points_Over,1.1000000000000014
Tobias Harris_Total Points_2021-03-17,0,0.08,Total Points_Over,3.5
Ben Simmons_Total Rebounds and Assists_2021-03-17,1,0.05,Total Rebounds and Assists_Over,0.9499999999999993
Brook Lopez_Total Rebounds and Assists_2021-03-17,0,0.02,Total Rebounds and Assists_Under,0.4300000000000006
Danny Green_Total Rebounds and Assists_2021-03-17,1,0.14,Total Rebounds and Assists_Over,0.9299999999999997
Donte DiVincenzo_Total Rebounds and Assists_2021-03-17,1,0.04,Total Rebounds and Assists_Over,0.7200000000000006
Giannis Antetokounmpo_Total Rebounds and Assists_2021-03-17,0,0.03,Total Rebounds and Assists_Under,0.8099999999999987
Khris Middleton_Total Rebounds and Assists_2021-03-17,0,0.08,Total Rebounds and Assists_Over,1.0500000000000007
Seth Curry_Total Rebounds and Assists_2021-03-17,1,0.05,Total Rebounds and Assists_Over,0.2599999999999998
Tobias Harris_Total Rebounds and Assists_2021-03-17,1,0.05,Total Rebounds and Assists_Over,0.7100000000000009
"Ben Simmons_Total Points, Rebounds and Assists_2021-03-17",1,0.08,"Total Points, Rebounds and Assists_Over",3.5500000000000043
"Brook Lopez_Total Points, Rebounds and Assists_2021-03-17",0,0.07,"Total Points, Rebounds and Assists_Under",1.4299999999999997
"Donte DiVincenzo_Total Points, Rebounds and Assists_2021-03-17",1,0.04,"Total Points, Rebounds and Assists_Over",2.120000000000001
"Khris Middleton_Total Points, Rebounds and Assists_2021-03-17",0,0.03,"Total Points, Rebounds and Assists_Over",1.6500000000000057
"Tobias Harris_Total Points, Rebounds and Assists_2021-03-17",0,0.08,"Total Points, Rebounds and Assists_Over",4.210000000000001
Danny Green_Total Made 3 Point Shots_2021-03-17,0,0.08,Total Made 3 Point Shots_Under,0.43999999999999995
Jrue Holiday_Total Made 3 Point Shots_2021-03-17,0,0.05,Total Made 3 Point Shots_Over,0.15999999999999992
Khris Middleton_Total Made 3 Point Shots_2021-03-17,0,0.41,Total Made 3 Point Shots_Over,0.7999999999999998
Seth Curry_Total Made 3 Point Shots_2021-03-17,0,0.19,Total Made 3 Point Shots_Over,0.3500000000000001
Tobias Harris_Total Made 3 Point Shots_2021-03-17,0,0.44,Total Made 3 Point Shots_Over,0.71
Ben Simmons_Total Blocks and Steals_2021-03-17,1,0.36,Total Blocks and Steals_Over,0.79
Brook Lopez_Total Blocks and Steals_2021-03-17,1,0.45,Total Blocks and Steals_Over,0.8700000000000001
Danny Green_Total Blocks and Steals_2021-03-17,1,0.17,Total Blocks and Steals_Over,0.3699999999999999
Jrue Holiday_Total Blocks and Steals_2021-03-17,1,0.29,Total Blocks and Steals_Over,0.6800000000000002
Cody Zeller_Total Points_2021-03-18,0,0.02,Total Points_Over,0.5
